name,phone,address,website,rating,review_count,category,area,score
Michaels Barbers,07311492190,"24 Upper Water St, Newry BT34 1DJ, UK",None,5,569,barber shop,Newry,10
Chop Shop Barbers,07715659209,"7 St Marys St, Newry BT34 2AA, UK",http://www.facebook.com/chopshopbarbersnewry,4.9,108,barber shop,Newry,9
The Beauty Sanctuary,07766054844,"21A Hospital Rd, Magherafelt BT45 5DG, UK",None,5,41,beauty salon,Magherafelt,10
The Rack Gym,07808868880,"45 Dromore Rd, Omagh BT78 1RB, UK",None,5,5,gym,Omagh,10
Reps gym,07725714279,"unit 8, 6 Derry Rd, Omagh BT78 5DR, UK",https://www.facebook.com/p/Reps-Gym-61563305386920/,4.8,40,gym,Omagh,9
